Country,Year,Month,Imports,Exports,Trade Volume
China,2023,10,8248.7,8931.6,17180.300000000003
China,2021,12,7876.0,9215.9,17091.9
China,2022,7,8510.2,7792.1,16302.300000000001
China,2024,12,7168.0,8683.6,15851.6
China,2022,8,8196.6,7548.0,15744.6
China,2022,3,6635.5,8912.4,15547.9
China,2022,6,7976.2,7516.4,15492.599999999999
China,2024,1,6422.9,8793.6,15216.5
China,2022,10,7377.5,7810.5,15188.0
China,2024,4,6909.9,8207.8,15117.699999999999
China,2023,9,7039.8,8019.1,15058.900000000001
China,2022,11,8285.8,6773.0,15058.8
China,2021,11,6670.9,8281.3,14952.199999999999
China,2021,9,6016.6,8785.1,14801.7
China,2024,11,6841.2,7925.9,14767.099999999999
China,2024,3,6149.3,8605.4,14754.7
China,2023,11,7283.3,7369.1,14652.400000000001
Malaysia,2022,6,7528.1,7049.6,14577.7
China,2022,9,7390.9,7133.6,14524.5
China,2021,10,6026.1,8461.5,14487.6
China,2024,7,6713.5,7677.2,14390.7
China,2022,5,7478.1,6757.8,14235.900000000001
China,2021,4,6329.5,7838.8,14168.3
Malaysia,2022,3,7882.2,6247.3,14129.5
China,2023,3,6607.0,7484.7,14091.7
China,2022,12,7642.6,6374.2,14016.8
China,2024,10,6070.1,7942.4,14012.5
China,2024,8,6249.9,7707.6,13957.5
China,2024,9,5716.2,8228.9,13945.099999999999
China,2023,8,6519.9,7416.1,13936.0
China,2023,12,5898.3,8030.6,13928.900000000001
Malaysia,2022,7,7243.9,6672.2,13916.099999999999
China,2023,6,5975.8,7856.1,13831.900000000001
China,2022,4,6153.9,7481.3,13635.2
China,2023,7,6504.9,7105.0,13609.9
China,2021,8,5467.8,8135.0,13602.8
China,2021,3,6291.7,7270.1,13561.8
Malaysia,2022,9,7672.0,5884.7,13556.7
China,2022,1,6387.2,7163.5,13550.7
China,2020,8,5574.1,7970.2,13544.3
China,2021,7,5526.6,7991.9,13518.5
China,2021,6,6198.5,7300.5,13499.0
Malaysia,2022,5,6664.4,6755.7,13420.099999999999
China,2024,6,6111.0,7283.2,13394.2
China,2023,1,7362.2,6018.8,13381.0
Malaysia,2022,8,7225.6,6150.5,13376.1
China,2024,5,6416.5,6959.1,13375.6
China,2020,12,6202.3,7090.8,13293.1
Malaysia,2025,1,6445.2,6744.2,13189.4
China,2020,11,6280.7,6852.9,13133.599999999999
China,2023,5,6163.3,6897.3,13060.6
China,2019,12,5992.6,7002.4,12995.0
Malaysia,2024,5,6504.4,6455.6,12960.0
China,2025,1,6787.4,6065.2,12852.599999999999
United States,2023,3,6088.0,6676.0,12764.0
Malaysia,2022,4,6958.6,5784.8,12743.400000000001
China,2017,11,6067.8,6658.4,12726.2
China,2019,11,6389.4,6333.7,12723.099999999999
China,2023,2,5633.5,7078.2,12711.7
United States,2022,8,6575.1,6094.4,12669.5
Malaysia,2022,10,6417.4,6233.8,12651.2
China,2021,5,5799.3,6720.0,12519.3
United States,2024,7,6190.1,6320.2,12510.3
China,2017,12,6198.4,6273.5,12471.9
United States,2022,3,5939.6,6504.5,12444.1
China,2015,10,5362.7,7072.3,12435.0
Malaysia,2022,11,6773.4,5557.1,12330.5
Malaysia,2024,12,6569.9,5711.8,12281.7
Malaysia,2024,7,6082.4,6103.9,12186.3
Malaysia,2024,3,5374.5,6803.0,12177.5
China,2019,8,5045.0,7123.0,12168.0
United States,2024,12,6651.8,5493.0,12144.8
China,2020,10,5142.6,6992.7,12135.3
China,2018,10,5974.4,6157.1,12131.5
Malaysia,2021,11,6572.6,5553.6,12126.2
United States,2023,11,6717.1,5406.2,12123.3
China,2018,5,5899.3,6189.9,12089.2
China,2020,9,5479.6,6561.5,12041.1
China,2017,5,5481.2,6537.4,12018.599999999999
China,2017,3,5654.5,6329.9,11984.4
China,2018,11,5832.5,6130.6,11963.1
Malaysia,2021,12,6725.7,5235.0,11960.7
United States,2024,8,7258.3,4679.9,11938.2
United States,2022,4,6441.5,5451.8,11893.3
United States,2022,9,6537.2,5278.5,11815.7
China,2019,10,6125.5,5678.9,11804.4
China,2021,1,6121.0,5682.7,11803.7
China,2022,2,4799.3,6929.0,11728.3
China,2016,12,5846.4,5872.1,11718.5
Malaysia,2021,3,6158.1,5549.3,11707.400000000001
China,2017,10,4988.5,6704.7,11693.2
China,2018,7,5842.3,5807.7,11650.0
Malaysia,2021,10,6447.6,5198.4,11646.0
Malaysia,2024,9,5462.0,6181.9,11643.9
United States,2022,6,6219.8,5413.6,11633.400000000001
China,2023,4,5716.5,5875.6,11592.1
China,2018,8,5730.0,5851.1,11581.1
China,2017,8,5001.8,6541.2,11543.0
Malaysia,2024,4,5915.8,5615.7,11531.5
China,2019,4,5580.0,5923.8,11503.8
United States,2023,6,6580.8,4897.0,11477.8
Malaysia,2018,10,5612.9,5858.5,11471.4
China,2018,12,5709.0,5755.0,11464.0
Malaysia,2023,3,5662.1,5769.0,11431.1
China,2013,12,4951.2,6477.1,11428.3
China,2018,4,5552.0,5861.2,11413.2
China,2024,2,4971.1,6427.9,11399.0
United States,2022,5,6889.7,4487.6,11377.3
China,2019,7,5612.2,5760.5,11372.7
China,2017,7,5054.8,6309.0,11363.8
China,2017,6,4986.2,6361.0,11347.2
China,2014,10,5012.5,6331.3,11343.8
Malaysia,2024,10,5574.0,5765.3,11339.3
China,2018,1,5650.7,5688.5,11339.2
China,2014,12,5217.9,6105.2,11323.099999999999
China,2014,9,4968.7,6321.5,11290.2
China,2015,1,4951.0,6338.2,11289.2
Malaysia,2024,1,5849.5,5411.2,11260.7
United States,2024,5,6411.2,4848.9,11260.099999999999
China,2019,1,6216.6,5037.7,11254.3
United States,2023,8,6867.9,4375.1,11243.0
China,2020,3,5979.9,5255.3,11235.2
United States,2022,10,6163.5,5070.8,11234.3
Malaysia,2024,11,5778.2,5443.7,11221.9
Malaysia,2021,4,6272.6,4941.8,11214.400000000001
China,2019,5,5635.0,5568.9,11203.9
Malaysia,2023,10,5654.6,5545.4,11200.0
China,2014,3,4901.1,6287.6,11188.7
United States,2024,11,5988.7,5190.8,11179.5
Malaysia,2022,12,6018.0,5154.8,11172.8
Malaysia,2008,7,5329.8,5833.1,11162.900000000001
China,2016,11,5189.2,5961.3,11150.5
China,2019,9,5610.9,5533.1,11144.0
China,2015,4,4986.7,6153.8,11140.5
United States,2025,1,5263.7,5813.2,11076.9
China,2018,6,5560.8,5505.1,11065.900000000001
United States,2024,9,6449.3,4603.2,11052.5
China,2025,2,5488.6,5548.7,11037.3
Malaysia,2024,8,5234.6,5789.6,11024.2
United States,2022,7,6158.1,4854.9,11013.0
Malaysia,2022,1,6180.1,4826.8,11006.900000000001
United States,2024,4,6970.0,4014.4,10984.4
China,2015,7,4995.6,5981.4,10977.0
China,2020,7,5539.2,5395.7,10934.9
China,2017,1,5487.3,5436.8,10924.1
China,2019,3,5584.7,5308.1,10892.8
China,2020,6,5288.2,5603.1,10891.3
Malaysia,2018,8,4849.4,6041.6,10891.0
China,2015,9,5005.2,5863.8,10869.0
United States,2025,2,5627.1,5230.1,10857.2
China,2017,9,5041.5,5788.0,10829.5
Malaysia,2021,9,5974.6,4852.1,10826.7
Malaysia,2025,2,5738.0,5076.0,10814.0
United States,2023,10,6358.4,4418.5,10776.9
China,2015,6,4685.6,6081.3,10766.900000000001
China,2013,10,4672.4,6092.9,10765.3
United States,2024,10,6092.8,4671.0,10763.8
China,2015,12,5167.1,5595.2,10762.3
Malaysia,2024,6,5278.6,5470.4,10749.0
Malaysia,2013,7,4607.7,6140.8,10748.5
United States,2023,4,5047.3,5695.5,10742.8
China,2017,4,4724.4,5992.3,10716.7
China,2014,11,4804.3,5911.3,10715.6
United States,2023,7,5415.3,5293.8,10709.1
Malaysia,2023,8,5341.9,5325.4,10667.3
China,2015,11,4973.2,5684.8,10658.0
China,2020,4,5583.2,5038.2,10621.4
United States,2022,11,5832.0,4787.4,10619.4
Malaysia,2013,10,4459.9,6156.9,10616.8
Malaysia,2023,6,5870.0,4729.1,10599.1
China,2020,1,5469.8,5091.2,10561.0
Malaysia,2008,6,4951.3,5605.5,10556.8
United States,2023,12,5951.5,4601.4,10552.9
China,2018,3,5140.1,5408.7,10548.8
Malaysia,2023,2,5745.4,4802.1,10547.5
China,2014,1,4796.6,5738.9,10535.5
Malaysia,2014,4,4157.3,6369.7,10527.0
China,2015,3,4320.3,6173.5,10493.8
Malaysia,2019,12,5391.2,5101.9,10493.099999999999
China,2015,5,4554.1,5896.0,10450.1
China,2014,4,4851.3,5575.1,10426.400000000001
United States,2024,6,6316.9,4105.2,10422.099999999999
China,2013,7,4955.4,5465.8,10421.2
China,2013,11,4814.5,5601.4,10415.9
Malaysia,2018,11,4880.0,5519.0,10399.0
China,2018,9,5370.5,5010.9,10381.4
Malaysia,2012,3,4440.6,5939.2,10379.8
Malaysia,2023,11,5426.4,4949.7,10376.099999999999
United States,2023,9,5589.9,4784.5,10374.4
Malaysia,2021,8,5733.4,4623.5,10356.9
China,2019,6,5061.6,5282.3,10343.900000000001
Malaysia,2019,5,5260.8,5062.4,10323.2
Malaysia,2018,7,4984.8,5297.1,10281.900000000001
China,2016,10,4892.6,5376.9,10269.5
Malaysia,2024,2,5084.0,5183.6,10267.6
Malaysia,2008,1,4927.4,5322.8,10250.2
Malaysia,2012,6,4646.8,5599.9,10246.7
China,2021,2,4989.7,5255.7,10245.4
United States,2024,3,5838.0,4376.3,10214.3
China,2013,8,4704.9,5508.3,10213.2
Malaysia,2021,5,5932.7,4271.3,10204.0
Malaysia,2012,4,4385.0,5794.8,10179.8
Malaysia,2017,10,4764.2,5403.7,10167.9
Malaysia,2023,9,5224.8,4913.5,10138.3
Malaysia,2022,2,5333.9,4802.1,10136.0
Malaysia,2021,1,5553.3,4566.9,10120.2
Malaysia,2019,10,4982.0,5128.5,10110.5
Malaysia,2014,5,4314.3,5760.2,10074.5
Malaysia,2008,4,5034.7,5014.8,10049.5
Malaysia,2011,8,4318.0,5720.5,10038.5
Malaysia,2011,12,3989.9,6046.6,10036.5
Malaysia,2017,11,4832.6,5192.0,10024.6
China,2013,9,4676.7,5340.2,10016.9
Malaysia,2011,3,4578.1,5424.0,10002.1
United States,2022,12,5314.2,4671.2,9985.4
China,2014,5,4551.5,5419.2,9970.7
Malaysia,2014,7,4354.0,5610.7,9964.7
Malaysia,2018,5,5219.0,4736.8,9955.8
Malaysia,2019,11,4764.9,5188.3,9953.2
Malaysia,2013,12,4580.0,5350.8,9930.8
United States,2024,1,5242.3,4687.9,9930.2
China,2014,6,4797.5,5132.3,9929.8
Malaysia,2011,6,4284.8,5643.5,9928.3
Malaysia,2023,4,5274.4,4650.5,9924.9
China,2020,5,4843.7,5080.4,9924.099999999999
Malaysia,2008,9,4980.0,4934.9,9914.9
China,2019,2,4037.0,5869.6,9906.6
Malaysia,2012,2,4327.0,5577.1,9904.1
Malaysia,2023,1,4920.1,4980.1,9900.2
China,2015,8,4829.8,5070.3,9900.1
Malaysia,2006,8,4377.7,5503.3,9881.0
Malaysia,2021,7,5830.8,4044.9,9875.7
United States,2021,12,5184.1,4684.9,9869.0
China,2014,7,4358.3,5506.7,9865.0
Malaysia,2020,1,4979.3,4882.4,9861.7
United States,2020,4,4408.7,5439.1,9847.8
Malaysia,2013,11,4268.2,5566.3,9834.5
China,2016,9,4592.2,5222.4,9814.599999999999
Malaysia,2014,6,3892.9,5920.1,9813.0
Malaysia,2013,8,4397.6,5415.3,9812.900000000001
Malaysia,2010,8,4095.8,5706.1,9801.900000000001
United States,2020,3,5001.6,4782.3,9783.900000000001
China,2013,4,4674.1,5103.2,9777.3
Malaysia,2012,5,4159.9,5613.5,9773.4
Malaysia,2007,8,4641.5,5129.7,9771.2
China,2016,1,4706.9,5063.2,9770.099999999999
Malaysia,2023,7,4835.2,4922.5,9757.7
Malaysia,2007,10,4665.1,5091.0,9756.1
United States,2020,7,3815.6,5935.2,9750.8
Malaysia,2023,5,5027.5,4718.8,9746.3
Malaysia,2018,4,4823.9,4914.0,9737.9
Malaysia,2011,11,4121.6,5592.2,9713.8
Malaysia,2007,9,4792.0,4916.4,9708.4
Malaysia,2018,9,4591.9,5096.3,9688.2
China,2012,11,4461.6,5219.7,9681.3
Malaysia,2017,12,4559.3,5121.6,9680.900000000001
Malaysia,2012,7,4516.0,5157.4,9673.4
Malaysia,2011,7,4235.9,5436.7,9672.599999999999
Malaysia,2012,10,4333.6,5326.7,9660.3
China,2014,8,4140.2,5519.8,9660.0
Malaysia,2013,4,4183.3,5469.0,9652.3
Malaysia,2008,5,4482.7,5169.1,9651.8
Malaysia,2007,11,4477.7,5168.8,9646.5
Malaysia,2017,8,4795.2,4851.0,9646.2
Malaysia,2010,7,4351.9,5290.7,9642.599999999999
China,2016,7,4482.8,5140.2,9623.0
Malaysia,2007,7,4395.7,5213.5,9609.2
Malaysia,2007,12,4438.0,5166.9,9604.9
China,2016,8,4415.7,5177.4,9593.099999999999
United States,2024,2,4958.7,4630.3,9589.0
Malaysia,2019,4,4770.8,4817.3,9588.1
Malaysia,2012,9,4189.6,5394.9,9584.5
United States,2022,1,4451.7,5127.1,9578.8
Malaysia,2011,10,4297.6,5278.6,9576.2
China,2016,4,4430.9,5119.5,9550.4
Malaysia,2013,1,4316.6,5231.6,9548.2
United States,2021,11,4928.8,4604.7,9533.5
Malaysia,2019,7,4899.0,4632.3,9531.3
Malaysia,2018,12,4874.2,4634.9,9509.099999999999
China,2013,5,4512.7,4994.5,9507.2
China,2017,2,3868.5,5627.9,9496.4
Malaysia,2018,1,4645.8,4834.7,9480.5
Malaysia,2018,3,4710.6,4767.3,9477.900000000001
Malaysia,2013,9,4058.0,5404.0,9462.0
United States,2023,1,5207.3,4251.5,9458.8
Malaysia,2011,9,3921.7,5531.2,9452.9
Malaysia,2014,8,4165.1,5282.8,9447.900000000001
Malaysia,2006,9,4337.4,5099.9,9437.3
Malaysia,2012,8,4179.0,5250.6,9429.6
United States,2023,5,5086.4,4336.1,9422.5
China,2016,5,4605.8,4814.2,9420.0
Malaysia,2017,5,4789.0,4630.6,9419.6
Malaysia,2011,4,4311.7,5107.1,9418.8
United States,2023,2,4894.4,4523.0,9417.4
China,2016,6,4539.3,4865.0,9404.3
Malaysia,2019,1,4608.9,4794.6,9403.5
Malaysia,2013,6,4072.3,5321.5,9393.8
China,2018,2,4746.6,4646.3,9392.900000000001
Malaysia,2013,5,4040.4,5348.7,9389.1
Malaysia,2018,6,4611.3,4761.2,9372.5
Malaysia,2014,1,4373.4,4994.4,9367.8
Malaysia,2023,12,4955.1,4396.7,9351.8
China,2016,3,4702.2,4649.1,9351.3
United States,2019,11,5428.5,3919.5,9348.0
Malaysia,2021,6,5526.7,3811.0,9337.7
Malaysia,2008,8,4310.9,5026.5,9337.4
United States,2021,4,5036.0,4298.0,9334.0
United States,2018,10,5659.7,3667.0,9326.7
Malaysia,2020,12,5226.1,4098.7,9324.8
Malaysia,2010,4,4238.5,5084.1,9322.6
China,2012,12,4420.2,4892.2,9312.4
Malaysia,2014,9,4268.4,5043.5,9311.9
Malaysia,2017,3,4639.7,4668.4,9308.099999999999
Malaysia,2021,2,5402.5,3904.9,9307.4
United States,2021,10,4870.7,4434.0,9304.7
United States,2019,5,4969.2,4329.1,9298.3
China,2014,2,3884.6,5413.1,9297.7
Malaysia,2014,10,4121.1,5176.5,9297.6
Malaysia,2007,6,4281.4,5011.7,9293.099999999999
Malaysia,2019,3,4774.1,4510.5,9284.6
China,2012,10,4022.8,5248.3,9271.1
Malaysia,2019,9,4714.7,4542.6,9257.3
Malaysia,2006,6,4268.5,4951.6,9220.1
China,2013,1,4665.0,4548.1,9213.1
Malaysia,2008,3,4729.4,4476.7,9206.099999999999
Malaysia,2006,7,4132.4,5049.8,9182.2
Malaysia,2020,7,5094.9,4080.2,9175.099999999999
Malaysia,2012,11,4042.7,5128.2,9170.9
Malaysia,2014,3,4098.5,5065.7,9164.2
Malaysia,2013,3,4165.3,4994.7,9160.0
Malaysia,2007,3,4410.3,4743.4,9153.7
Malaysia,2020,9,5093.0,4057.1,9150.1
Malaysia,2010,9,4136.5,5008.0,9144.5
United States,2019,3,4925.9,4208.0,9133.9
Malaysia,2006,3,4525.9,4592.3,9118.2
Malaysia,2006,5,4269.1,4849.0,9118.1
China,2011,12,4223.9,4876.3,9100.2
China,2011,3,4598.7,4490.9,9089.599999999999
Malaysia,2005,10,4209.9,4878.9,9088.8
Malaysia,2010,6,4068.6,5018.2,9086.8
Malaysia,2011,5,3789.6,5281.1,9070.7
Malaysia,2020,2,4985.9,4084.1,9070.0
United States,2019,7,5126.3,3941.3,9067.6
United States,2021,8,4826.4,4240.8,9067.2
Malaysia,2019,8,4647.1,4416.4,9063.5
Malaysia,2020,10,5249.3,3810.3,9059.6
United States,2019,4,5275.0,3749.6,9024.6
Malaysia,2014,2,4043.3,4979.9,9023.2
Malaysia,2010,3,4247.3,4763.9,9011.2
United States,2021,3,4466.4,4526.5,8992.9
China,2011,11,4217.3,4759.3,8976.6
China,2012,5,4152.7,4814.6,8967.3
China,2012,3,4559.6,4396.6,8956.2
United States,2021,9,4593.6,4361.4,8955.0
China,2013,6,4398.0,4537.7,8935.7
Malaysia,2015,3,4028.2,4903.6,8931.8
Malaysia,2007,5,4051.3,4878.8,8930.1
China,2012,6,4320.2,4604.9,8925.099999999999
Malaysia,2020,6,5247.9,3672.7,8920.599999999999
Malaysia,2010,10,3946.6,4939.0,8885.6
Malaysia,2015,7,3968.0,4911.5,8879.5
Malaysia,2005,12,4269.2,4588.9,8858.099999999999
United States,2006,12,5710.5,3144.7,8855.2
Malaysia,2020,8,5070.0,3783.0,8853.0
Malaysia,2020,11,4918.8,3920.5,8839.3
Malaysia,2011,1,3860.6,4975.5,8836.1
China,2015,2,4084.1,4743.6,8827.7
China,2008,7,4457.5,4363.4,8820.9
Malaysia,2007,1,4018.9,4795.4,8814.3
Malaysia,2010,11,4426.9,4376.7,8803.599999999999
United States,2019,6,5125.4,3675.3,8800.7
Malaysia,2006,11,3998.1,4800.3,8798.4
China,2012,7,4177.0,4612.3,8789.3
United States,2019,8,5362.1,3421.7,8783.8
Malaysia,2008,10,4086.4,4693.6,8780.0
China,2011,1,4040.4,4734.8,8775.2
Malaysia,2016,12,4113.6,4643.1,8756.7
Malaysia,2017,9,4180.7,4574.7,8755.4
China,2008,9,4714.0,4036.3,8750.3
China,2011,8,4035.1,4708.7,8743.8
Malaysia,2005,9,4144.5,4575.3,8719.8
Malaysia,2007,4,4184.8,4532.3,8717.1
Malaysia,2009,12,4079.1,4632.1,8711.2
United States,2021,5,4182.6,4520.7,8703.3
China,2010,12,3895.5,4794.5,8690.0
United States,2018,8,5016.8,3669.6,8686.4
Malaysia,2015,6,4180.5,4495.4,8675.9
Malaysia,2012,12,3876.6,4788.8,8665.4
Malaysia,2010,12,4143.3,4520.9,8664.2
United States,2020,2,4398.3,4258.8,8657.1
Malaysia,2010,1,4285.1,4361.3,8646.400000000001
United States,2018,5,5017.2,3623.9,8641.1
Malaysia,2015,8,4008.9,4628.9,8637.8
Malaysia,2006,10,3845.8,4786.3,8632.1
United States,2021,6,4418.9,4191.5,8610.4
United States,2007,3,4767.9,3836.4,8604.3
China,2013,3,4300.1,4297.2,8597.3
China,2006,12,4664.1,3931.5,8595.6
United States,2018,6,5173.0,3390.3,8563.3
China,2011,6,4024.5,4521.4,8545.9
Malaysia,2013,2,4001.3,4540.9,8542.2
United States,2019,10,4850.1,3691.1,8541.2
Malaysia,2006,4,4007.1,4534.1,8541.2
United States,2018,11,5055.0,3478.2,8533.2
Malaysia,2010,5,3902.1,4614.8,8516.9
United States,2020,12,3794.2,4720.4,8514.599999999999
China,2011,5,4116.6,4393.9,8510.5
Malaysia,2014,12,3793.1,4717.3,8510.4
Malaysia,2015,1,3965.2,4542.4,8507.599999999999
China,2012,8,4067.3,4438.4,8505.7
Malaysia,2017,4,4248.2,4256.4,8504.599999999999
United States,2019,1,4791.4,3712.0,8503.4
United States,2021,7,4579.5,3923.6,8503.1
Malaysia,2017,7,4377.5,4119.9,8497.4
China,2011,10,3748.3,4744.8,8493.1
Malaysia,2015,10,3834.5,4656.0,8490.5
United States,2020,5,3555.0,4933.9,8488.9
Malaysia,2009,10,4144.5,4342.9,8487.4
China,2011,9,3835.3,4646.3,8481.6
United States,2022,2,4444.8,4036.7,8481.5
Malaysia,2006,12,3903.9,4566.1,8470.0
United States,2018,12,5077.3,3369.0,8446.3
United States,2019,12,4625.2,3812.3,8437.5
Malaysia,2014,11,3890.6,4538.4,8429.0
United States,2020,1,4497.9,3929.0,8426.9
China,2008,8,4491.6,3926.3,8417.900000000001
China,2010,5,4031.2,4386.6,8417.8
Malaysia,2005,8,3912.0,4492.4,8404.4
China,2012,9,3948.2,4439.4,8387.599999999999
Malaysia,2008,2,4178.0,4199.2,8377.2
